Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type
GOODFELLOW AFB,"31°26'09""N","100°24'03""W",14R LV 66873 78753,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_GOODFELLOW_AFB.html,,Active Duty
GRAND FORKS AFB,"47°57'07""N","97°22'57""W",14T PU 20768 12225,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_GRAND_FORKS_AFB.html,,Active Duty
HANSCOM AFB,"42°27'23""N","71°16'35""W",19T CH 12823 02961,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HANSCOM_AFB.html,,Active Duty
HILL AFB,"41°06'36""N","111°58'56""W",12T VL 17530 51433,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HILL_AFB.html,,Active Duty
HOLLOMAN AFB,"32°50'33""N","106°05'55""W",13S CS 97187 34361,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HOLLOMAN_AFB.html,,Active Duty
HURLBURT FIELD,"30°25'23""N","86°41'41""W",16R EU 29317 65704,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_HURLBURT_FIELD.html,,Active Duty
INCIRLIK AB ABS,"37°0'7.00""N","35°25'34.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
JB ANACOSTIA-BOLLING,"38°50'29""N","77°01'05""W",18S UJ 24855 01110,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ANACOSTIA-BOLLING.html,,Active Duty
JB CHARLESTON,"32°53'29""N","80°04'03""W",17S NS 87218 39631,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_CHARLESTON.html,,Active Duty
JB ELMENDORF-RICHARDSON,"61°15'44""N","149°41'53""W",6V UN 55306 94983,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_ELMENDORF-RICHARDSON.html,,Active Duty
JB LANGLEY-EUSTIS,"37°05'00""N","76°21'33""W",18S UG 79195 04980,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LANGLEY-EUSTIS.html,,Active Duty
JB LEWIS-MCCHORD,"47°05'30""N","122°36'53""W",10T ET 29240 15422,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_LEWIS-MCCHORD.html,,Active Duty
JB MCGUIRE-DIX-LAKEHURST,"40°02'15""N","74°35'18""W",18T WK 35120 32000,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_MCGUIRE-DIX-LAKEHURST.html,,Active Duty
JB PEARL HARBOR-HICKAM,"21°20'15""N","157°57'43""W",4Q FJ 07643 59855,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JB_PEARL_HARBOR-HICKAM.html,,Active Duty
JBMDL DIX AIN,"40°1'0.00""N","74°52'0.00""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
JBSA CAMP BULLIS TNG,"29°34'46.00""N","98°38'30.00""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
JBSA FT SAM HOUSTON,"29°26'59""N","98°27'02""W",14R NT 53282 57938,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_FT_SAM_HOUSTON.html,,Active Duty
JBSA LACKLAND,"29°23'14""N","98°37'16""W",14R NT 36765 50947,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_LACKLAND.html,,Active Duty
JBSA RANDOLPH,"29°31'57""N","98°16'45""W",14R NT 69847 67200,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_JBSA_RANDOLPH.html,,Active Duty
KADENA ABS,"26°21'20.00""N","127°46'3.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
KEESLER AFB,"30°24'34""N","88°55'34""W",16R CU 14981 65731,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KEESLER_AFB.html,,Active Duty
KIRTLAND AFB,"35°00'39""N","106°30'44""W",13S CU 62019 75289,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_KIRTLAND_AFB.html,,Active Duty
KLEINE BROGEL ABS,"51°10'6.00""N","5°28'12.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
KUNSAN ABS,"35°54'14.00""N","126°36'57.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
LAUGHLIN AFB,"29°21'21""N","100°46'58""W",14R LT 26940 48730,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LAUGHLIN_AFB.html,,Active Duty
LITTLE ROCK AFB,"34°53'47""N","92°08'38""W",15S WU 78220 61887,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LITTLE_ROCK_AFB.html,,Active Duty
LOS ANGELES,"33°54'59""N","118°22'58""W",11S LT 72173 53746,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LOS_ANGELES.html,,Active Duty
LUKE AFB,"33°32'22""N","112°22'32""W",12S UC 72284 11939,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_LUKE_AFB.html,,Active Duty
MACDILL AFB,"27°51'28""N","82°29'19""W",17R LL 53434 82337,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MACDILL_AFB.html,,Active Duty
MALMSTROM AFB,"47°30'17""N","111°10'56""W",12T VT 86277 61270,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MALMSTROM_AFB.html,,Active Duty
MAXWELL-GUNTER AFB,"32°22'43""N","86°21'44""W",16S EA 59993 82581,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MAXWELL-GUNTER_AFB.html,,Active Duty
MCCONNELL AFB,"37°37'51""N","97°15'06""W",14S PG 54271 66293,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MCCONNELL_AFB.html,,Active Duty
MINOT AFB,"48°25'13""N","101°19'36""W",14U LU 27861 65629,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MINOT_AFB.html,,Active Duty
MISAWA ABS,"40°42'12.00""N","141°22'6.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
MOODY AFB,"30°58'12""N","83°11'47""W",17R KQ 90229 28346,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOODY_AFB.html,,Active Duty
MOUNTAIN HOME AFB,"43°03'59""N","115°51'18""W",11T NH 93226 68823,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_MOUNTAIN_HOME_AFB.html,,Active Duty
MUSHAF ABS,"32°2'41.00""N","72°40'3.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
NELLIS AFB,"36°14'25""N","115°03'14""W",11S PA 74874 12355,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_NELLIS_AFB.html,,Active Duty
OFFUTT AFB,"41°07'25""N","95°54'52""W",15T TF 55334 56573,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_OFFUTT_AFB.html,,Active Duty
OSAN AB ABS,"37°5'26.00""N","127°1'47.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
PALMDALE USAF PLA ABS,"34°37'46.00""N","118°5'5.00""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
PATRICK SFB,"28°14'21""N","80°36'26""W",17R NM 38533 23759,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PATRICK_SFB.html,,Active Duty
PENTAGON,"38°52'15""N","77°03'21""W",18S UJ 21650 04451,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PENTAGON.html,,Active Duty
PETERSON SFB,"38°49'32""N","104°41'58""W",13S EC 26089 97461,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_PETERSON_SFB.html,,Active Duty
RAF ALCONBURY,"52°22'31.40""N","0°13'23.07""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
RAF CROUGHTON,"51°59'21.00""N","1°10'55.00""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
RAF LAKENHEATH,"52°24'33.00""N","0°33'40.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
RAF MILDENHALL,"52°21'43.00""N","0°29'11.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
RAMSTEIN ABS,"49°26'10.00""N","7°36'23.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
ROBINS AFB,"32°38'23""N","83°35'30""W",17S KS 56883 14314,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ROBINS_AFB.html,,Active Duty
SCHRIEVER SFB,"38°48'12""N","104°31'32""W",13S EC 41196 95059,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCHRIEVER_SFB.html,,Active Duty
SCOTT AFB,"38°32'29""N","89°51'18""W",16S BH 51169 69750,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SCOTT_AFB.html,,Active Duty
SEYMOUR JOHNSON AFB,"35°20'24""N","77°57'41""W",18S TE 30850 14774,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SEYMOUR_JOHNSON_AFB.html,,Active Duty
SHAHBAZ AB APT,"28°17'3.00""N","68°26'59.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
SHAW AFB,"33°58'02""N","80°29'05""W",17S NT 47603 58641,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHAW_AFB.html,,Active Duty
SHEPPARD AFB,"33°58'06""N","98°30'38""W",14S NC 45216 58752,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_SHEPPARD_AFB.html,,Active Duty
SPANGDAHLEM AB ABS,"49°58'35.00""N","6°41'55.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
TINKER AFB,"35°25'09""N","97°24'15""W",14S PE 44882 20698,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TINKER_AFB.html,,Active Duty
TRAVIS AFB,"38°16'09""N","121°56'51""W",10S EH 92069 36204,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TRAVIS_AFB.html,,Active Duty
TYNDALL AFB,"30°04'47""N","85°36'26""W",16R FU 34229 28437,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_TYNDALL_AFB.html,,Active Duty
UEDEM (GERMANY),"51°40'57.00""N","6°17'57.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
USAF ACADEMY,"39°0'0.00""N","104°52'60.00""W",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
VANCE AFB,"36°20'21""N","97°54'47""W",14S NF 97544 22116,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_VANCE_AFB.html,,Active Duty
VANDENBERG SFB,"34°44'31""N","120°34'20""W",10S GD 22255 47110,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_VANDENBERG_SFB.html,,Active Duty
VOGELWEH CANTONMT AIN,"49°25'60.00""N","7°43'0.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
VOLKEL ABS,"51°39'26.00""N","5°42'28.00""E",,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,,,Active Duty
WHITEMAN AFB,"38°43'44""N","93°33'37""W",15S VC 51299 86840,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WHITEMAN_AFB.html,,Active Duty
WRIGHT-PATTERSON AFB,"39°48'37""N","84°01'55""W",16S GK 54072 10915,31P,31P (SECURITY FORCES),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/31P.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_WRIGHT-PATTERSON_AFB.html,,Active Duty
AL DHAFRA ABS,"24°14'23.00""N","54°32'58.00""E",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
AL UDEID AB ABS,"25°7'2.00""N","51°18'54.00""E",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
ALTUS AFB,"34°39'18""N","99°17'04""W",14S MD 73935 34821,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ALTUS_AFB.html,,Active Duty
ANDERSEN AFB,"13°33'46""N","144°55'25""E",55P BR 75307 00327,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDERSEN_AFB.html,,Active Duty
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDREWS_JB.html,,Active Duty
AVIANO ABS,"46°1'48.00""N","12°35'56.00""E",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty
BUCKLEY SFB,"39°42'09""N","104°45'29""W",13S ED 20741 94766,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BUCKLEY_SFB.html,,Active Duty
CANNON AFB,"34°23'20""N","103°19'05""W",13S FU 54620 06558,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CANNON_AFB.html,,Active Duty
CAPE CANAVERAL SFS,"28°29'19""N","80°34'22""W",17R NM 41814 51404,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CAPE_CANAVERAL_SFS.html,,Active Duty
CAVALIER SFS,"48°43'29.00""N","97°53'59.00""W",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
CHEYENNE MOUNT SFS,"38°49'0.00""N","104°32'60.00""W",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
CLEAR SFS,"64°18'7.00""N","149°7'21.00""W",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
COLUMBUS AFB,"33°37'38""N","88°26'51""W",16S CC 65739 21763,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_COLUMBUS_AFB.html,,Active Duty
CREECH AFB,"36°34'41""N","115°39'29""W",11S PA 20060 48904,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CREECH_AFB.html,,Active Duty
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty
DOVER AFB,"39°07'39""N","75°28'06""W",18S VJ 59518 31029,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DOVER_AFB.html,,Active Duty
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty
EARECKSON AFS,"52°42'44.00""N","174°6'49.00""E",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
EBBING ANGB AGB,"35°20'30.00""N","94°22'15.00""W",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty
EIELSON AFB,"64°39'52""N","147°05'45""W",6W VS 95424 71061,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EIELSON_AFB.html,,Active Duty
ELLSWORTH AFB,"44°08'54""N","103°05'15""W",13T FJ 52951 90126,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ELLSWORTH_AFB.html,,Active Duty
FAIRCHILD AFB,"47°38'28""N","117°38'41""W",11T MN 51574 76613,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FAIRCHILD_AFB.html,,Active Duty
FE WARREN AFB,"41°08'32""N","104°52'41""W",13T EF 10233 54552,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FE_WARREN_AFB.html,,Active Duty
FT LIBERTY (AKA FT BRAGG),"35°08'22""N","78°59'50""W",17S PU 82458 90342,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FT_LIBERTY_AKA_FT_BRAGG.html,,Active Duty
GOODFELLOW AFB,"31°26'09""N","100°24'03""W",14R LV 66873 78753,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_GOODFELLOW_AFB.html,,Active Duty
GRAND FORKS AFB,"47°57'07""N","97°22'57""W",14T PU 20768 12225,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_GRAND_FORKS_AFB.html,,Active Duty
"GULFPORT, MS (USA)","30°21'0.00""N","89°7'60.00""W",,32E,32E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/32E.html,,,Active Duty
